NAME,YEAR,industry_name,industry_values,
"District of Columbia, District of Columbia",2012,"Agriculture, forestry, fishing and hunting, and mining",208,
"Calvert County, Maryland",2012,"Agriculture, forestry, fishing and hunting, and mining",419,
"Marin County, California",2012,"Agriculture, forestry, fishing and hunting, and mining",980,
"San Francisco County, California",2012,"Agriculture, forestry, fishing and hunting, and mining",632,
"San Mateo County, California",2012,"Agriculture, forestry, fishing and hunting, and mining",1767,
"Alameda County, California",2012,"Agriculture, forestry, fishing and hunting, and mining",2646,
"Contra Costa County, California",2012,"Agriculture, forestry, fishing and hunting, and mining",4861,
"Santa Clara County, California",2012,"Agriculture, forestry, fishing and hunting, and mining",3622,
"Anne Arundel County, Maryland",2012,Construction,19165,
"Howard County, Maryland",2012,Construction,7665,
"Prince George's County, Maryland",2012,Construction,35069,
"Montgomery County, Maryland",2012,Construction,30055,
"District of Columbia, District of Columbia",2012,Construction,10668,
"Calvert County, Maryland",2012,Construction,4723,
"Marin County, California",2012,Construction,5777,
"San Francisco County, California",2012,Construction,14763,
"San Mateo County, California",2012,Construction,21287,
"Alameda County, California",2012,Construction,36176,
"Contra Costa County, California",2012,Construction,33499,
"Santa Clara County, California",2012,Construction,43318,
"Anne Arundel County, Maryland",2012,Manufacturing,16360,
"Howard County, Maryland",2012,Manufacturing,8188,
"Prince George's County, Maryland",2012,Manufacturing,10896,
"Montgomery County, Maryland",2012,Manufacturing,17073,
"District of Columbia, District of Columbia",2012,Manufacturing,4116,
"Calvert County, Maryland",2012,Manufacturing,1688,
"Marin County, California",2012,Manufacturing,5673,
"San Francisco County, California",2012,Manufacturing,24733,
"San Mateo County, California",2012,Manufacturing,27785,
"Alameda County, California",2012,Manufacturing,80987,
"Contra Costa County, California",2012,Manufacturing,35030,
"Santa Clara County, California",2012,Manufacturing,170598,
"Anne Arundel County, Maryland",2012,Wholesale trade,7412,
"Howard County, Maryland",2012,Wholesale trade,4645,
"Prince George's County, Maryland",2012,Wholesale trade,6017,
"Montgomery County, Maryland",2012,Wholesale trade,5383,
"District of Columbia, District of Columbia",2012,Wholesale trade,1641,
"Calvert County, Maryland",2012,Wholesale trade,715,
"Marin County, California",2012,Wholesale trade,2406,
"San Francisco County, California",2012,Wholesale trade,6811,
"San Mateo County, California",2012,Wholesale trade,8788,
"Alameda County, California",2012,Wholesale trade,21664,
"Contra Costa County, California",2012,Wholesale trade,13385,
"Santa Clara County, California",2012,Wholesale trade,19113,
"Anne Arundel County, Maryland",2012,Retail trade,31016,
"Howard County, Maryland",2012,Retail trade,15255,
"Prince George's County, Maryland",2012,Retail trade,41805,
"Montgomery County, Maryland",2012,Retail trade,39761,
"District of Columbia, District of Columbia",2012,Retail trade,15412,
"Calvert County, Maryland",2012,Retail trade,4263,
"Marin County, California",2012,Retail trade,14282,
"San Francisco County, California",2012,Retail trade,45543,
"San Mateo County, California",2012,Retail trade,36990,
"Alameda County, California",2012,Retail trade,74141,
"Contra Costa County, California",2012,Retail trade,51752,
"Santa Clara County, California",2012,Retail trade,87361,
"Anne Arundel County, Maryland",2012,"Transportation and warehousing, and utilities",12908,
"Howard County, Maryland",2012,"Transportation and warehousing, and utilities",5738,
"Prince George's County, Maryland",2012,"Transportation and warehousing, and utilities",24989,
"Montgomery County, Maryland",2012,"Transportation and warehousing, and utilities",13390,
"District of Columbia, District of Columbia",2012,"Transportation and warehousing, and utilities",10682,
"Calvert County, Maryland",2012,"Transportation and warehousing, and utilities",2790,
"Marin County, California",2012,"Transportation and warehousing, and utilities",2764,
"San Francisco County, California",2012,"Transportation and warehousing, and utilities",15866,
"San Mateo County, California",2012,"Transportation and warehousing, and utilities",19160,
"Alameda County, California",2012,"Transportation and warehousing, and utilities",32068,
"Contra Costa County, California",2012,"Transportation and warehousing, and utilities",23631,
"Santa Clara County, California",2012,"Transportation and warehousing, and utilities",24630,
"Anne Arundel County, Maryland",2012,Information,6609,
"Howard County, Maryland",2012,Information,3978,
"Prince George's County, Maryland",2012,Information,10641,
"Montgomery County, Maryland",2012,Information,17633,
"District of Columbia, District of Columbia",2012,Information,14367,
"Calvert County, Maryland",2012,Information,857,
"Marin County, California",2012,Information,3473,
"San Francisco County, California",2012,Information,24667,
"San Mateo County, California",2012,Information,12991,
"Alameda County, California",2012,Information,22626,
"Contra Costa County, California",2012,Information,12483,
"Santa Clara County, California",2012,Information,32998,
"Anne Arundel County, Maryland",2012,"Finance and insurance, and real estate and rental and leasing",16913,
"Howard County, Maryland",2012,"Finance and insurance, and real estate and rental and leasing",13039,
"Prince George's County, Maryland",2012,"Finance and insurance, and real estate and rental and leasing",22864,
"Montgomery County, Maryland",2012,"Finance and insurance, and real estate and rental and leasing",34604,
"District of Columbia, District of Columbia",2012,"Finance and insurance, and real estate and rental and leasing",16628,
"Calvert County, Maryland",2012,"Finance and insurance, and real estate and rental and leasing",2146,
"Marin County, California",2012,"Finance and insurance, and real estate and rental and leasing",12704,
"San Francisco County, California",2012,"Finance and insurance, and real estate and rental and leasing",42937,
"San Mateo County, California",2012,"Finance and insurance, and real estate and rental and leasing",26929,
"Alameda County, California",2012,"Finance and insurance, and real estate and rental and leasing",45107,
"Contra Costa County, California",2012,"Finance and insurance, and real estate and rental and leasing",48317,
"Santa Clara County, California",2012,"Finance and insurance, and real estate and rental and leasing",41301,
"Anne Arundel County, Maryland",2012,"Professional, scientific, and management, and administrative and waste management services",43174,
"Howard County, Maryland",2012,"Professional, scientific, and management, and administrative and waste management services",31028,
"Prince George's County, Maryland",2012,"Professional, scientific, and management, and administrative and waste management services",75944,
"Montgomery County, Maryland",2012,"Professional, scientific, and management, and administrative and waste management services",115538,
"District of Columbia, District of Columbia",2012,"Professional, scientific, and management, and administrative and waste management services",70682,
"Calvert County, Maryland",2012,"Professional, scientific, and management, and administrative and waste management services",5495,
"Marin County, California",2012,"Professional, scientific, and management, and administrative and waste management services",26469,
"San Francisco County, California",2012,"Professional, scientific, and management, and administrative and waste management services",98623,
"San Mateo County, California",2012,"Professional, scientific, and management, and administrative and waste management services",66453,
"Alameda County, California",2012,"Professional, scientific, and management, and administrative and waste management services",126063,
"Contra Costa County, California",2012,"Professional, scientific, and management, and administrative and waste management services",77831,
"Santa Clara County, California",2012,"Professional, scientific, and management, and administrative and waste management services",165737,
"Anne Arundel County, Maryland",2012,"Educational services, and health care and social assistance",56004,
